numero,nome algoritmo,nome euristica,tempo secondi,risultato
20,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0033,True
21,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0028,True
22,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0030,True
23,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0032,True
24,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0035,True
25,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0037,True
26,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0040,True
27,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0041,True
28,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0044,True
29,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0046,True
30,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0047,True
31,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0049,True
32,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0053,True
33,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0058,True
34,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0059,True
35,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0064,True
36,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0064,True
37,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0072,True
38,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0082,True
39,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0078,True
40,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0083,True
41,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0090,True
42,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0092,True
43,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0099,True
44,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0100,True
45,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0108,True
46,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0113,True
47,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0121,True
48,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0121,True
49,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0128,True
50,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0132,True
51,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0136,True
52,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0142,True
53,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0153,True
54,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0154,True
55,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0159,True
56,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0165,True
57,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0174,True
58,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0196,True
59,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0196,True
60,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0200,True
61,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0198,True
62,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0213,True
63,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0224,True
64,percorsoCavalloRicorsivo,eurMenoEntrantiDistCentro,0.0221,True
